t010100_0010	Aaltojen asettajat, kolme veljestä	skvr03105680,skvr03140930,skvr03142520
t010100_0020	Aglisakan, Ransusin ja meidän kuninkaan sota	skvr04114280,skvr04120360
t010100_0030	Ahdin ja Kyllikin runo	skvr01110520,skvr01109060,skvr01109070,skvr02102202,skvr02102231,skvr02102230,skvr02102321,skvr02102322,skvr02102320,skvr02102330,skvr07104351,skvr07104350,skvr07104360,skvr07104380
t010100_0040	Ahdin meriretki	skvr03103460,skvr03105230,skvr04113280,skvr04120920,skvr04140370
t010100_0045	Aika antaa ainoasi	skvr01117690,skvr01117700,skvr01117710,skvr02111130,skvr02111140,skvr02105600,skvr02105610,skvr02105620,skvr07128220,skvr07129540,skvr07129550
t010100_0050	Aittaan mäelle pukeutumaan	skvr03107690,skvr03107710,skvr03112630,skvr03123960,skvr03124300,skvr04100350,skvr04106640,skvr04108490,skvr04109170,skvr05103420,skvr05103440,skvr13015140,skvr13000020
t010100_0060	Ajelen mie hanhuzie	skvr02111650,skvr02111660,skvr02111670,skvr02111680
t010100_0070	Ajoi neito allisella	skvr02102650
t010100_0080	Ajoin heikoksi hevosen - itkien kotiin	skvr04123950
t010100_0090	Ajoin Kunnolan kujaan	skvr01203570,skvr01203600,skvr02102720,skvr02102730,skvr02102740,skvr02103590,skvr04110660,skvr04110670,skvr04141770,skvr06101060,skvr06101220,skvr06101330,skvr06101340,skvr07109950,skvr07109960,skvr07209840,skvr07209850,skvr07209880,skvr07209891,skvr07209890,skvr07209900,skvr07209910,skvr07209930,skvr07209940,skvr07209950,skvr07209960,skvr07209970,skvr07209980,skvr10127080
t010100_0100	Akan poika	skvr01105140,skvr15103970
t010100_0110	Ammuin joutsenet joelta	skvr13000040,skvr13000080
t010100_0120	Ammuin nuolen taivaaseen, nousin sitä myöten	skvr03111630
t010100_0130	Ammuin tetrin emolle	skvr03141130
t010100_0140	Ankkuri mereen, laiva vihertävän metsän alle	skvr03105060,skvr03105900,skvr03113200
