t010100_0210	Eeva, vaimo ensimmäinen	skvr12102030
t010100_0220	Ei ole sääli Suomen maita	skvr05108850,skvr05206410,skvr07123250,skvr13012290,skvr13014380,skvr13027900,skvr13027910
t010100_0230	Ei silloin hyvin eletty	skvr10101290
t010100_0240	Elettiin ennen meillä	skvr03107440,skvr03107450,skvr03121950,skvr03123900,skvr03139350,skvr03142190,skvr05107980,skvr05107990,skvr05222400,skvr05222410,skvr05311260,skvr05300030,skvr06101230,skvr06101240,skvr06171250,skvr07127570,skvr07127580,skvr07127590,skvr13018250,skvr13000200,skvr13000210,skvr13000220,skvr13000230,skvr13000240,skvr13000250,skvr13000260,skvr13000270,skvr13000280,skvr13000290,skvr13029180,skvr13036210,skvr13041300,skvr13045900,skvr13105200,skvr13105210,skvr15111130,skvr15111140,skvr15111150,skvr15111160,skvr15111170,skvr15111180,skvr15111190,skvr15111200,skvr15104510,skvr15106930,skvr15107560,skvr15109500
t010100_0250	Elinan surma	skvr03121980,skvr04116010,skvr09100100,skvr09100040,skvr09100050,skvr09100680,skvr09100060,skvr09100070,skvr09100080,skvr09100090,skvr08110120,skvr08110130,skvr08110140,skvr08110150,skvr10100100,skvr10100110,skvr10100120,skvr10100130,skvr10100140,skvr10100151,skvr10100150,skvr10100160,skvr10100171,skvr10100170,skvr10100180,skvr10100010,skvr10100020,skvr10100030,skvr10100040,skvr10100050,skvr10100060,skvr10100070,skvr10100080,skvr10100090,skvr13000300,skvr15100440,skvr15100840
t010100_0260	Eläimet kosijoina	skvr02101360,skvr02103740,skvr07101080
t010100_0270	Eläimet sanansaattajina	skvr02100490,skvr02100500,skvr02100510,skvr02100520,skvr03113370,skvr03113380,skvr03113550,skvr03118780,skvr03119530,skvr04114790,skvr04105410,skvr04109780,skvr04120600,skvr04120870,skvr04120880,skvr04120890,skvr04120910,skvr04139630,skvr04140380,skvr05108010,skvr05225830,skvr07102120,skvr07102150,skvr07102170,skvr07102370,skvr07102380,skvr07102410,skvr07102420,skvr07102450,skvr07102460,skvr13089611,skvr13089610,skvr13095700
t010100_0280	Emo teki viisi tyttölasta	skvr04101090,skvr04101180,skvr04101460,skvr04114740,skvr04103840,skvr04105390,skvr04100600,skvr04106240,skvr04117260,skvr04121430,skvr04121970,skvr04125090,skvr04126310,skvr04130890,skvr04137100,skvr04139490,skvr04141060,skvr04141330
t010100_0290	Emon pään karsiminen	skvr03106900,skvr04107700,skvr04109810,skvr04129220,skvr04129410,skvr04129550,skvr04129660,skvr04130020
t010100_0300	En tohi kotiin korven kukkasitta	skvr04118090,skvr05100520,skvr05210510,skvr05212140,skvr05212220,skvr05212250,skvr05212690,skvr05212760,skvr05201680,skvr05220940,skvr05221020,skvr05223030,skvr05223510,skvr05204270,skvr05208820,skvr05307110,skvr05307190,skvr05307590,skvr06103870,skvr06103880,skvr06105130,skvr06149550,skvr07113900,skvr07113920,skvr07113940,skvr13001100,skvr13001140,skvr13001370,skvr13024560,skvr13026360,skvr13003180,skvr13006410,skvr13006440,skvr13031840,skvr13037810,skvr13047210
t010100_0310	Ennen naidun naisen tappo	skvr03112250,skvr03112260,skvr03112270,skvr03112280,skvr03112290,skvr03112300,skvr03112310,skvr03112320,skvr03112330,skvr03112340,skvr03112350,skvr03103430,skvr03103440,skvr03105350,skvr03106590,skvr03106630,skvr03106650,skvr03106670,skvr03106680,skvr03106780,skvr03100680,skvr03107500,skvr03108770,skvr03108910,skvr03112550,skvr03112580,skvr03112590,skvr03117930,skvr03118500,skvr03119240,skvr03120370,skvr03120380,skvr03121300,skvr03122870,skvr03123310,skvr03123380,skvr03123980,skvr03124140,skvr03124910,skvr03126440,skvr03126770,skvr03127000,skvr03127100,skvr03127240,skvr03127250,skvr03128030,skvr03128310,skvr03129330,skvr03133800,skvr03134320,skvr03136420,skvr03140460,skvr03140610,skvr04114400,skvr04119290,skvr04119340,skvr04125330,skvr05102290,skvr07104580,skvr07104600,skvr07104780,skvr07104801,skvr07104800,skvr07104810,skvr07104870,skvr07104880,skvr07104890,skvr07105350,skvr07105360,skvr07105380,skvr07105390,skvr07109333,skvr07112890,skvr07117670,skvr13004070,skvr15109850,skvr15109860,skvr15109870,skvr15109880,skvr15109890,skvr15109900,skvr15109910,skvr15109920,skvr15109930,skvr15109940,skvr15109950,skvr15109960,skvr15109970,skvr15109980
