t010100_1550	Laatokka kun sulaisi	skvr05107850
t010100_1560	Laiska lesken poika pani paarmat kyntämään	skvr04112550,skvr04112760,skvr04112800,skvr04114710,skvr04102310,skvr04108880,skvr04122900,skvr05112250,skvr07145380,skvr07145390,skvr07145400
t010100_1570	Laivanlaatija	skvr07110470
t010100_1580	Laivaretki	skvr01101050,skvr01101060,skvr01100110,skvr01101200,skvr01101210,skvr01101220,skvr01101230,skvr01100130,skvr01100150,skvr01100170,skvr01100180,skvr01103040,skvr01100300,skvr01103391,skvr01103390,skvr01103570,skvr01103650,skvr01103690,skvr01103920,skvr01103940,skvr01104030,skvr01104040,skvr01104050,skvr01104220,skvr01100420,skvr01100420,skvr01104330,skvr01104350,skvr01104420,skvr01104430,skvr01100040,skvr01105200,skvr01105750,skvr01105760,skvr01105770,skvr01105791,skvr01105790,skvr01105800,skvr01105820,skvr01105840,skvr01105850,skvr01105860,skvr01105870,skvr01105880,skvr01105890,skvr01105900,skvr01105910,skvr01105930,skvr01105940,skvr01105971,skvr01105970,skvr01105990,skvr01106020,skvr01106030,skvr01106040,skvr01106050,skvr01106060,skvr01106070,skvr01106080,skvr01106090,skvr01106100,skvr01106110,skvr01106141,skvr01106140,skvr01106150,skvr01106160,skvr01106171,skvr01106170,skvr01106180,skvr01106190,skvr01106200,skvr01106210,skvr01106220,skvr01106230,skvr01106240,skvr01106260,skvr01106270,skvr01106280,skvr01106300,skvr01106320,skvr01106340,skvr01106350,skvr01106370,skvr01106380,skvr01106390,skvr01106400,skvr01106411,skvr01106410,skvr01106420,skvr01106430,skvr01106440,skvr01106451,skvr01106450,skvr01106460,skvr01106470,skvr01106480,skvr01106490,skvr01106500,skvr01106520,skvr01106530,skvr01106550,skvr01106560,skvr01106570,skvr01106580,skvr01106590,skvr01106600,skvr01106620,skvr01106630,skvr01106650,skvr01106660,skvr01106670,skvr01106680,skvr01106690,skvr01106701,skvr01106700,skvr01100060,skvr01100780,skvr01100833,skvr01100860,skvr01100091,skvr01100090,skvr01107240,skvr01107240,skvr01107510,skvr01109060,skvr01109070,skvr01117030,skvr01117110,skvr01221340,skvr01221500,skvr01221530,skvr01221590,skvr01221600,skvr01221610,skvr01221620,skvr01222880,skvr01202590,skvr02101060,skvr02101430,skvr02101440,skvr02101460,skvr02101470,skvr02101480,skvr02101490,skvr02101500,skvr02101510,skvr02101521,skvr02101522,skvr02101520,skvr02101530,skvr02101540,skvr02101550,skvr02101560,skvr02101570,skvr02101600,skvr02101630,skvr02101660,skvr02101681,skvr02101682,skvr02101680,skvr02101700,skvr02101710,skvr02101720,skvr02101731,skvr02101732,skvr02101730,skvr02101740,skvr02101751,skvr02101752,skvr02101750,skvr02101760,skvr02101771,skvr02101770,skvr02101781,skvr02101780,skvr02101860,skvr02102171,skvr02102172,skvr02102170,skvr02102390,skvr02100590,skvr02100590,skvr02100600,skvr02107420,skvr02100970,skvr03112010,skvr03103461,skvr03103460,skvr03103470,skvr03103480,skvr03105230,skvr03105470,skvr03105900,skvr03107260,skvr03107270,skvr03100720,skvr03107311,skvr03107310,skvr03107320,skvr03107330,skvr03107340,skvr03107360,skvr03107370,skvr03107380,skvr03107390,skvr03107400,skvr03107420,skvr03113150,skvr03113160,skvr03113180,skvr03113190,skvr03113210,skvr03113240,skvr03113250,skvr03113260,skvr03113270,skvr03113280,skvr03113300,skvr03113310,skvr03113320,skvr03116780,skvr03117940,skvr03118560,skvr03118920,skvr03121840,skvr03123010,skvr03123460,skvr03125950,skvr03126040,skvr03126260,skvr03126350,skvr03126540,skvr03127440,skvr03127760,skvr03128890,skvr03129800,skvr03129900,skvr03133080,skvr03133180,skvr03133610,skvr03133740,skvr03134250,skvr03136480,skvr03137510,skvr03138550,skvr03139650,skvr03140480,skvr03142060,skvr03142500,skvr04101010,skvr04113220,skvr04113240,skvr04113470,skvr04113480,skvr04101830,skvr04103910,skvr04104840,skvr04105540,skvr04105790,skvr04106160,skvr04100810,skvr04117880,skvr04117920,skvr04118530,skvr04120310,skvr04120320,skvr04120330,skvr04120340,skvr04120350,skvr04120360,skvr04120370,skvr04120380,skvr04120390,skvr04120400,skvr04120410,skvr04120420,skvr04120430,skvr04123890,skvr04125000,skvr04125230,skvr04125510,skvr04126430,skvr04131040,skvr04131050,skvr04131060,skvr04135250,skvr04137390,skvr04138240,skvr04141020,skvr04141150,skvr04141520,skvr05110630,skvr05110660,skvr05110680,skvr05110710,skvr05110720,skvr05110730,skvr05110740,skvr05110750,skvr05110820,skvr05110850,skvr05110860,skvr05110870,skvr05110880,skvr05110920,skvr05110930,skvr05104340,skvr05107840,skvr05302081,skvr05302111,skvr05302110,skvr05302121,skvr05302120,skvr06100100,skvr06133591,skvr06133600,skvr06100420,skvr06100460,skvr06100470,skvr06100480,skvr06100500,skvr06100510,skvr06100530,skvr06100540,skvr06100550,skvr06100740,skvr06100750,skvr06100760,skvr07101000,skvr07101011,skvr07101010,skvr07101020,skvr07101050,skvr07101091,skvr07101121,skvr07101141,skvr07101142,skvr07101140,skvr07101190,skvr07101210,skvr07101240,skvr07102930,skvr07105541,skvr07105540,skvr07105560,skvr07105570,skvr07105580,skvr07105590,skvr07105600,skvr07105610,skvr07105620,skvr07105630,skvr07105640,skvr07105660,skvr07105670,skvr07105700,skvr07105710,skvr07105720,skvr07105730,skvr07105750,skvr07105760,skvr07105770,skvr07105810,skvr07105821,skvr07105820,skvr07105830,skvr07105870,skvr07105890,skvr07105900,skvr07105911,skvr07105912,skvr07105910,skvr07105920,skvr07105930,skvr07105960,skvr07105980,skvr07106000,skvr07106020,skvr07106030,skvr07106040,skvr07106050,skvr07106060,skvr07106080,skvr07106100,skvr07106110,skvr07106170,skvr07106180,skvr07106190,skvr07106200,skvr07106210,skvr07106230,skvr07106251,skvr07106250,skvr07106260,skvr07106270,skvr07106300,skvr07106340,skvr07106350,skvr07106370,skvr07106400,skvr07106430,skvr07106440,skvr07106460,skvr07106470,skvr07110530,skvr07110550,skvr07110560,skvr07110570,skvr12100380,skvr12100470,skvr12100480,skvr12100510,skvr12100630,skvr12100640,skvr12100650,skvr12100680,skvr12100710,skvr12100720,skvr12100750,skvr12100790,skvr12100810,skvr12100830,skvr12100840,skvr12100850,skvr12100860,skvr12100870,skvr12100890,skvr12100900,skvr12100910,skvr12100920,skvr12100930,skvr12100950,skvr12172930,skvr12180930,skvr13010200,skvr13010220,skvr13010401,skvr13010400,skvr13013460,skvr13013480,skvr13013490,skvr13013500,skvr13013530,skvr13013550,skvr13013560,skvr13013570,skvr13013580,skvr13013830,skvr13013870,skvr13013920,skvr13003190,skvr13003880,skvr13004970,skvr13005760,skvr13005910,skvr13006100,skvr15110490,skvr15100630,skvr15100650,skvr15100670,skvr15100680,skvr15100710,skvr15107290,skvr15100720,skvr15108260,skvr15108270,skvr15108280,skvr15108290,skvr15108300,skvr15108310,skvr15108320,skvr15108330,skvr15108340,skvr15108350,skvr15108360,skvr15108370,skvr15108380,skvr15108390,skvr15108400,skvr15108410,skvr15108420,skvr15108430
t010100_1590	Laivassa surmattu veli	skvr03112080,skvr03103500,skvr03103510,skvr03104670,skvr03104840,skvr03105000,skvr03105300,skvr03105420,skvr03106970,skvr03106980,skvr03106990,skvr03107000,skvr03107981,skvr03107980,skvr03107990,skvr03108000,skvr03109880,skvr03112710,skvr03112720,skvr03112730,skvr03112740,skvr03112750,skvr03112760,skvr03112770,skvr03112780,skvr03112790,skvr03118950,skvr03120020,skvr03120110,skvr03120460,skvr03122290,skvr03122330,skvr03123240,skvr03125200,skvr03125800,skvr03126120,skvr03126300,skvr03126340,skvr03126950,skvr03133250,skvr03133290,skvr03133860,skvr03134470,skvr03134480,skvr03137470,skvr03137820,skvr03138330,skvr03139630,skvr03139730,skvr03140370,skvr03140390,skvr03140580,skvr04110040,skvr04110220,skvr04101070,skvr04111400,skvr04113580,skvr04113800,skvr04114390,skvr04102370,skvr04102690,skvr04105360,skvr04105670,skvr04115780,skvr04119630,skvr04119800,skvr04119810,skvr04119820,skvr04119830,skvr04119840,skvr04119850,skvr04119860,skvr04120450,skvr04120470,skvr04120870,skvr04121710,skvr04122580,skvr04125050,skvr04125760,skvr04139450,skvr04140330,skvr04140380,skvr05113480,skvr05113490,skvr05104030,skvr05104040,skvr05104050,skvr05104060,skvr05104070,skvr05109200,skvr05109210,skvr05109270,skvr05109340,skvr05300780,skvr05300791,skvr05300790,skvr05300800,skvr05300820,skvr06101020,skvr07102350,skvr07112360,skvr07112370,skvr07112380,skvr07112400,skvr13012010,skvr13012030,skvr13012070,skvr13012140,skvr13012150,skvr13012160,skvr13012200,skvr13012210,skvr13012220,skvr13012730,skvr13025340,skvr13005630,skvr13005640,skvr13005660,skvr13005670,skvr13005680,skvr13005690,skvr13005710,skvr13005720,skvr13005730,skvr13005740,skvr13005750,skvr13104910,skvr13104930,skvr15110060,skvr15110250,skvr15108440,skvr15108520,skvr15108530,skvr15108540,skvr15108550,skvr15108560,skvr15108570,skvr15108580,skvr15108590,skvr15108600,skvr15108610,skvr15108620,skvr15108630,skvr15108640,skvr15108650,skvr15108660,skvr15108670,skvr15109500
t010100_1600	Lapista, Turjan maalta, lintu, yksi siipi vettä viisti	skvr13011080,skvr13011100,skvr13011110,skvr13011120,skvr13011130,skvr13011900,skvr13011910,skvr13011920,skvr13011930,skvr13011940,skvr13011950,skvr13011960,skvr13011970,skvr13011980,skvr13006990,skvr13007180,skvr13031620,skvr13089740,skvr13090460,skvr13090480,skvr13093790,skvr13097550
t010100_1610	Lapsenetsintävirsi	skvr01110960,skvr01110980,skvr01110990,skvr01111000,skvr01111010,skvr01111020,skvr01111030,skvr01111060,skvr01111070,skvr01111080,skvr01111090,skvr01111110,skvr01111120,skvr01111130,skvr01111150,skvr01111160,skvr01111170,skvr01111180,skvr01111190,skvr01111200,skvr01111220,skvr01111240,skvr01111250,skvr01111270,skvr01111280,skvr01111290,skvr01111310,skvr01109410,skvr01221930,skvr01221941,skvr01221940,skvr01221950,skvr01221970,skvr01209050,skvr02103200,skvr02103220,skvr02103231,skvr02103230,skvr02103241,skvr02103240,skvr02103270,skvr02103281,skvr02103290,skvr02103301,skvr02103300,skvr02103320,skvr03105510,skvr03107570,skvr03112640,skvr03113460,skvr03113470,skvr03113480,skvr03113520,skvr03117830,skvr03117920,skvr03119090,skvr03119180,skvr03119190,skvr03119280,skvr03119370,skvr03119390,skvr03119410,skvr03119570,skvr03119580,skvr03119590,skvr03119640,skvr03119820,skvr03119860,skvr03119910,skvr03119980,skvr03120830,skvr03122180,skvr03127290,skvr03133730,skvr03134290,skvr03137840,skvr04113440,skvr04105830,skvr04118420,skvr04120500,skvr04120510,skvr04120550,skvr04120560,skvr04140230,skvr04141490,skvr15107740,skvr15107750
t010100_1620	Lauri Lappalainen	skvr03103100,skvr03112670,skvr03112680,skvr03112690,skvr03114510,skvr03122210,skvr03126690,skvr03126780,skvr03141340,skvr04111350,skvr04111530,skvr04113720,skvr04114270,skvr04114720,skvr04101880,skvr04104870,skvr04105250,skvr04105510,skvr04119720,skvr04119730,skvr04119740,skvr04119750,skvr04119760,skvr04119770,skvr04119780,skvr04119790,skvr04124690,skvr04130400,skvr04134400,skvr04138590,skvr04140110,skvr04141560,skvr05111550,skvr05111560,skvr05102111,skvr05104080,skvr05104090,skvr05104100,skvr05104110,skvr05104120,skvr05104130,skvr05104140,skvr05104150,skvr05104160,skvr05104170,skvr05104180,skvr05104190,skvr05104200,skvr05104210,skvr05104220,skvr05104230,skvr05104240,skvr05104250,skvr05104260,skvr05104270,skvr05104280,skvr05104290,skvr05104300,skvr05104310,skvr05104320,skvr05104330,skvr05109650,skvr05210580,skvr05211150,skvr05300830,skvr05300841,skvr05300840,skvr05300851,skvr05300850,skvr05300861,skvr05300860,skvr06100010,skvr07108650,skvr07108740,skvr07203570,skvr13012270,skvr13013900,skvr13014310,skvr13014820,skvr13014830,skvr13001520,skvr13001590,skvr13001600,skvr13002160,skvr13002170,skvr13022100,skvr13022300,skvr13002550,skvr13002580,skvr13026560,skvr13003340,skvr13004220,skvr13005060,skvr13005080,skvr13005090,skvr13005770,skvr13005780,skvr13005790,skvr13005800,skvr13005811,skvr13005810,skvr13005820,skvr13005830,skvr13005840,skvr13005850,skvr13005860,skvr13005870,skvr13005880,skvr13005890,skvr13005900,skvr13000090,skvr13028860,skvr13028870,skvr13081850,skvr13083130,skvr13103970,skvr13103980,skvr13124540,skvr13126900,skvr15112990,skvr15113000,skvr15113010
t010100_1630	Lehmä teki valkean vasikan	skvr04123950,skvr04127370,skvr04129290,skvr04130960,skvr05110080,skvr05112560,skvr05105680,skvr05109860,skvr05210230,skvr06101960,skvr06101970,skvr06102050,skvr06102100,skvr06106960,skvr06147120,skvr06164270,skvr12115540,skvr13011230,skvr13012970,skvr13013120,skvr13021540,skvr13004960,skvr13000880,skvr13000920,skvr13000930,skvr13000940,skvr13000970,skvr13105040
t010100_1640	Leino leski	skvr03101100,skvr03104850,skvr03100610,skvr03108070,skvr03108080,skvr03108090,skvr03108100,skvr03108110,skvr03114070,skvr03114450,skvr03115090,skvr03115860,skvr03118170,skvr03118750,skvr03121070,skvr03122810,skvr03122930,skvr03123650,skvr03124060,skvr03125530,skvr03127820,skvr03127990,skvr03128540,skvr03129420,skvr03131520,skvr03132150,skvr03132450,skvr03134430,skvr03136010,skvr03137130,skvr03141560,skvr04111090,skvr04111100,skvr04101180,skvr04101660,skvr04101670,skvr04104130,skvr04104810,skvr04104900,skvr04105660,skvr04107650,skvr04109160,skvr04115060,skvr04115750,skvr04118630,skvr04121230,skvr04122170,skvr04122530,skvr04122550,skvr04125770,skvr04127700,skvr04129870,skvr04130160,skvr04131350,skvr04131850,skvr04137680,skvr04137690,skvr04141540,skvr09200100,skvr05101020,skvr05113500,skvr05104340,skvr05104350,skvr05104360,skvr05104370,skvr05104381,skvr05104380,skvr05104390,skvr05104401,skvr05104400,skvr05104410,skvr05104420,skvr05104430,skvr05104440,skvr05104450,skvr05104460,skvr05104470,skvr05104480,skvr05104490,skvr05104500,skvr05104510,skvr05104520,skvr05104530,skvr05104540,skvr05104550,skvr05104560,skvr05104570,skvr05104580,skvr05104590,skvr05104600,skvr05302311,skvr05302310,skvr05300871,skvr05300870,skvr07105541,skvr07105540,skvr07105580,skvr07110480,skvr07110490,skvr07110500,skvr07110510,skvr07110520,skvr07110530,skvr07110540,skvr07110550,skvr07110560,skvr07110570,skvr07110580,skvr07110590,skvr07139500,skvr08110280,skvr08110290,skvr13016080,skvr13004960,skvr13005910,skvr13005920,skvr13005930,skvr13005940,skvr13005950,skvr13005960,skvr13005970,skvr13005980,skvr13005990,skvr13006000,skvr13006010,skvr13006020,skvr13006030,skvr13006040,skvr13006050,skvr13006060,skvr13006070,skvr13006080,skvr13006090,skvr13006100,skvr13006110,skvr13006120,skvr13006130,skvr13103990,skvr13104000,skvr13104010,skvr15111350,skvr15112100,skvr15108010,skvr15108020,skvr15108030,skvr15108040,skvr15108050,skvr15108060,skvr15108070,skvr15108080,skvr15108090
t010100_1650	Lemminkäisen surma	skvr01100590,skvr01107050,skvr01107221,skvr01107220,skvr01107300,skvr01107330,skvr01107581,skvr01107582,skvr01107580,skvr01107710,skvr01107950,skvr01108010,skvr01108150,skvr01108280,skvr01108290,skvr01108340,skvr01108350,skvr01108361,skvr01108360,skvr01108400,skvr01108450,skvr01108470,skvr01109290,skvr01113420,skvr05101180,skvr06100060,skvr07107730,skvr07107991,skvr07107990,skvr07108230,skvr07108260,skvr07108290,skvr07108300,skvr07108320,skvr07108340,skvr07108350,skvr07108361,skvr07108360,skvr07108400,skvr07108410
