t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t010100_2370	Nain naisen pikkaraisen, talo käski tappamaan	skvr03111280,skvr03105150,skvr03121340,skvr03125210,skvr03126240,skvr03135160,skvr03138250,skvr03140810,skvr04111280,skvr04111290,skvr04101230,skvr04113700,skvr04100150,skvr04102250,skvr04102710,skvr04108910,skvr04115670,skvr04119280,skvr04122660,skvr04136560,skvr04137900,skvr05210790,skvr05210820,skvr05306520,skvr05306530,skvr13008700,skvr13029090,skvr13029100,skvr13039560,skvr13080990
t010100_2380	Neiden rosvo	skvr01111580
t010100_2390	Neidolta marjassa nännät putosi	skvr04132420,skvr04134840,skvr04138220
t010100_2400	Neidon kaksi kosijaa	skvr04109180
t010100_2410	Neidon kankaankudonta	skvr01100890,skvr04109880,skvr05302321,skvr05302320,skvr07113160,skvr07113170,skvr07128650,skvr13014500,skvr13014510
t010100_2420	Neidot ja kyppä	skvr03138240,skvr13005550,skvr14120950,skvr15104020,skvr15104120,skvr15104150
t010100_2430	Neitinen meni ve´elle	skvr07120890
t010100_2440	Neito kyntäjänä	skvr03108890,skvr03108900,skvr03108930,skvr03108940,skvr03108950,skvr03114320,skvr03114330,skvr03114670,skvr03114710,skvr03118180,skvr03121560,skvr03126420,skvr03127090,skvr03129130,skvr03129740,skvr03133130,skvr03133930,skvr03134000,skvr03140980,skvr04114630,skvr05305911,skvr05305910,skvr13013430,skvr13014290,skvr13019950,skvr13026250,skvr13076940,skvr13083960,skvr15112390,skvr15107920
t010100_2450	Neitoa kositaan eri paikkoihin	skvr03107630,skvr03137370,skvr04114150,skvr04102860,skvr04103380,skvr04103980,skvr04106900,skvr04107330,skvr04109100,skvr04109520,skvr04109530,skvr04115110,skvr04115300,skvr04117810,skvr04123830,skvr04128660,skvr04131870,skvr04132620,skvr04132980,skvr04134000,skvr04134380,skvr04134690,skvr04135760,skvr04135770,skvr04136040,skvr04136050,skvr04137260,skvr04137930,skvr04139230,skvr04140630,skvr05107030,skvr05208410
t010100_2460	Neljän neidon runo	skvr01119250,skvr04112240,skvr04126670,skvr09100120,skvr09100130,skvr09100140,skvr09100150,skvr09100160,skvr09100170,skvr09100180,skvr09100190,skvr09100200,skvr09100210,skvr09100220,skvr09100230,skvr09100240,skvr09100250,skvr09100260,skvr09106100,skvr09200070,skvr09200080,skvr05219260,skvr06117500,skvr06102781,skvr06102782,skvr06102790,skvr06102800,skvr06102810,skvr06102820,skvr06102830,skvr06102840,skvr06102850,skvr06102860,skvr06102870,skvr06102880,skvr06102890,skvr06102900,skvr06164580,skvr06164590,skvr06164600,skvr06164620,skvr06164630,skvr06164640,skvr06164650,skvr06164660,skvr06164670,skvr08110450,skvr08110460,skvr08110480,skvr08110490,skvr08110500,skvr08110510,skvr08110530,skvr08110540,skvr08110550,skvr08110560,skvr08110570,skvr08110580,skvr08110590,skvr08110620,skvr08110670,skvr08110680,skvr08110690,skvr08146570,skvr10101000,skvr10101010,skvr10101030,skvr10100840,skvr10100850,skvr10100860,skvr10100870,skvr10100881,skvr10100880,skvr10100890,skvr10100900,skvr10100910,skvr10100920,skvr10100940,skvr10100950,skvr10100961,skvr10100960,skvr10100970,skvr10100980,skvr10100990,skvr11100100,skvr11100110,skvr11100120,skvr11124960,skvr11124970,skvr11124980,skvr11124990,skvr11125020,skvr11100040,skvr11100050,skvr11100060,skvr11100070,skvr11100080,skvr11100090,skvr13008980,skvr13008990,skvr13009000,skvr13009010,skvr13009030,skvr13009040,skvr14100640,skvr14100650,skvr14100660,skvr14100670,skvr14100680,skvr14100690,skvr14100700,skvr14100710
t010100_2470	Nimettömät taudit	skvr01102840,skvr01106730,skvr01106740,skvr01106750,skvr01106760,skvr01106770,skvr01106780,skvr01204950,skvr01204970,skvr01204990,skvr01208010,skvr01208240,skvr01208740,skvr03142890,skvr03142910,skvr03142930,skvr03142940,skvr03142950,skvr04144460,skvr06143460,skvr06152810,skvr07106920,skvr07230140
t010100_2480	Noidille Viroon	skvr03100110,skvr03112250,skvr03102560,skvr03105770,skvr03105950,skvr03106080,skvr03115370,skvr03129220,skvr03140560,skvr03141250,skvr03141690,skvr03142490,skvr04111510,skvr04103280,skvr04117540,skvr04126360,skvr05109610,skvr15107870,skvr15107920
t010100_2490	Nuijasota	skvr04133940,skvr09200010,skvr09200020,skvr09200030,skvr15100930,skvr15100940
t010100_2500	Nuorena sotaan viety veli	skvr01112110,skvr01112120,skvr01112130,skvr01112140,skvr01112150,skvr01112160,skvr01112470,skvr01222101,skvr01222100,skvr03110450,skvr03110460,skvr03110880,skvr03110890,skvr03100160,skvr03103010,skvr03103020,skvr03103030,skvr03103090,skvr03105210,skvr03115710,skvr03115720,skvr03115750,skvr03119520,skvr03121430,skvr03122190,skvr03125670,skvr03126730,skvr03127850,skvr03135820,skvr03138310,skvr03140820,skvr03141490,skvr04111700,skvr04112190,skvr04113110,skvr04113120,skvr04113130,skvr04101450,skvr04103240,skvr04109880,skvr04115370,skvr04116180,skvr04117780,skvr04122240,skvr04126200,skvr04126320,skvr04130290,skvr05100320,skvr05100330,skvr05103430,skvr05100340,skvr05100350,skvr05100360,skvr05100370,skvr05100400,skvr05105650,skvr05105660,skvr05105680,skvr05109240,skvr05300110,skvr05300120,skvr05300661,skvr05300660,skvr05300680,skvr05300080,skvr06102930,skvr06102940,skvr06102950,skvr06102960,skvr06105390,skvr06164680,skvr07109331,skvr07110150,skvr07112850,skvr07112970,skvr07112980,skvr07112990,skvr07113000,skvr07113010,skvr07113020,skvr07113030,skvr08110690,skvr12101560,skvr12101570,skvr12101580,skvr12101590,skvr12101620,skvr12101630,skvr12101690,skvr12101700,skvr12101710,skvr12101720,skvr12101730,skvr12101740,skvr12101750,skvr12101770,skvr12101780,skvr13011611,skvr13011610,skvr13011620,skvr13013440,skvr13014370,skvr13000700,skvr13000720,skvr13000730,skvr13000770
