t010100_3040	Saaren maat saroin jaettu	skvr03103090,skvr03106140,skvr03106170
t010100_3050	Saaren neidot	skvr01102750,skvr01102750,skvr01103890,skvr01104090,skvr01104090,skvr01105070,skvr01105070,skvr01106171,skvr01106170,skvr01106190,skvr01106430,skvr01106430,skvr01106980,skvr01107030,skvr01107040,skvr01107120,skvr01107240,skvr01107290,skvr01107310,skvr01107571,skvr01107570,skvr01107591,skvr01107590,skvr01107640,skvr01107661,skvr01107660,skvr01107670,skvr01107680,skvr01107730,skvr01107740,skvr01107780,skvr01107810,skvr01107840,skvr01107870,skvr01107900,skvr01107911,skvr01107910,skvr01107970,skvr01108021,skvr01108020,skvr01108030,skvr01108040,skvr01108060,skvr01108081,skvr01108080,skvr01108090,skvr01108100,skvr01108111,skvr01108110,skvr01108120,skvr01108160,skvr01108180,skvr01108280,skvr01108310,skvr01108320,skvr01108340,skvr01108400,skvr01108410,skvr01108420,skvr01108450,skvr01108470,skvr01108550,skvr01109540,skvr01109570,skvr01109590,skvr01109601,skvr01109600,skvr01109610,skvr01109620,skvr01109640,skvr01109650,skvr01109680,skvr01109691,skvr01109690,skvr01109720,skvr01109730,skvr01109740,skvr01109760,skvr01109800,skvr01109830,skvr01109841,skvr01109840,skvr01109851,skvr01109860,skvr01109880,skvr01109890,skvr01109910,skvr01221380,skvr01221680,skvr01221690,skvr02101900,skvr02101931,skvr02101932,skvr02101930,skvr02102010,skvr02102050,skvr02102061,skvr02102060,skvr02102081,skvr02102110,skvr02102201,skvr02102202,skvr02102200,skvr02102460,skvr03112360,skvr03105330,skvr04111210,skvr04113190,skvr04114350,skvr04116970,skvr04119600,skvr04119610,skvr04119620,skvr04119630,skvr04140150,skvr04140520,skvr05104500,skvr05109720,skvr13011590,skvr13027280,skvr13104640,skvr13104650
t010100_3060	Saarenmaan palo	skvr03101020,skvr03111230,skvr03111240,skvr03112050,skvr03112090,skvr03104960,skvr03115710,skvr03115740,skvr03118140,skvr03121030,skvr03122360,skvr03122530,skvr03123920,skvr03124170,skvr03125550,skvr03126500,skvr03127870,skvr03128690,skvr03134380,skvr03136140,skvr03136190,skvr03137530,skvr03141500,skvr04111390,skvr04113570,skvr04114350,skvr04114980,skvr04108590,skvr04117060,skvr04122710,skvr04137550,skvr04139280,skvr05108040,skvr05108050,skvr05108060,skvr05108070,skvr05108080,skvr05108090,skvr05301911,skvr05301910,skvr05301920,skvr06103770,skvr06103780,skvr13012260,skvr13012270,skvr13000310,skvr15108480,skvr15108490,skvr15108500,skvr15108510
t010100_3070	Saaresta kosinta	skvr03111990,skvr03112230,skvr03112240,skvr03112250,skvr03103130,skvr03106800,skvr03106830,skvr03106850,skvr03112550,skvr03114120,skvr03119510,skvr03139270,skvr03142240,skvr05102510,skvr05102520,skvr05102760,skvr05102780,skvr13005090,skvr13000070,skvr13000090
t010100_3080	Sadan hevosen satulointi	skvr02102880,skvr02102900,skvr02102921,skvr02102930,skvr02102950,skvr03111570,skvr03112120,skvr03112130,skvr03112140,skvr03112150,skvr03112170,skvr03105410,skvr03106610,skvr03106720,skvr03119240,skvr03123280,skvr03133590,skvr04111510,skvr04114240,skvr04104860,skvr04100680,skvr04117960,skvr04119050,skvr04119060,skvr04119070,skvr04119080,skvr04119090,skvr04119140,skvr04141510
t010100_3090	Sairastava neito	skvr01113860,skvr03101050,skvr03105290,skvr03107750,skvr03107760,skvr03107770,skvr03107780,skvr03107790,skvr03107800,skvr03107810,skvr03107820,skvr03107830,skvr03107840,skvr03108810,skvr03113630,skvr03113640,skvr03113650,skvr03113660,skvr03113670,skvr03113690,skvr03118930,skvr03121580,skvr03123330,skvr03123450,skvr03124080,skvr03125240,skvr03128330,skvr03129220,skvr03131220,skvr03131230,skvr03131260,skvr03131270,skvr03131290,skvr03132410,skvr03133100,skvr03133570,skvr03134440,skvr03135750,skvr03135970,skvr03137960,skvr03139960,skvr03140900,skvr04110130,skvr04110140,skvr04114320,skvr04114450,skvr04101580,skvr04103210,skvr04103900,skvr04104020,skvr04104700,skvr04104930,skvr04100060,skvr04100970,skvr04115230,skvr04115800,skvr04120690,skvr04120700,skvr04120710,skvr04120720,skvr04120730,skvr04120740,skvr04125090,skvr04126060,skvr04126090,skvr04126470,skvr04126640,skvr04126970,skvr04131640,skvr05108250,skvr05108260,skvr05108270,skvr05108280,skvr05108290,skvr05108300,skvr05108310,skvr05108320,skvr05108330,skvr05108340,skvr05108350,skvr05224120,skvr05206390,skvr05301511,skvr05301510,skvr05301521,skvr05301520,skvr07113670,skvr07113680,skvr13010970,skvr13010980,skvr13010990,skvr13011000,skvr13011010,skvr13011020,skvr13011030,skvr13011040,skvr13011050,skvr13011060,skvr13011070,skvr13000370,skvr13006970,skvr15110540,skvr15113040,skvr15113050,skvr15113060,skvr15113070,skvr15113080,skvr15113090,skvr15113100,skvr15113110,skvr15113120,skvr15113130,skvr15113140,skvr15113150,skvr15113380,skvr15107200
t010100_3100	Sammon ryöstö	skvr01101090,skvr01100101,skvr01100110,skvr01101220,skvr01101230,skvr01101280,skvr01101320,skvr01100130,skvr01100140,skvr01101561,skvr01101560,skvr01100150,skvr01101730,skvr01100170,skvr01100180,skvr01100190,skvr01100200,skvr01100220,skvr01100230,skvr01100250,skvr01100261,skvr01100260,skvr01100290,skvr01100300,skvr01103300,skvr01103940,skvr01100390,skvr01100030,skvr01104101,skvr01104100,skvr01100410,skvr01100420,skvr01104330,skvr01104340,skvr01104350,skvr01104360,skvr01104380,skvr01104410,skvr01104420,skvr01104430,skvr01104550,skvr01100450,skvr01104610,skvr01104650,skvr01104670,skvr01104700,skvr01100480,skvr01100041,skvr01100040,skvr01100500,skvr01100510,skvr01100520,skvr01100530,skvr01100541,skvr01100542,skvr01100540,skvr01100550,skvr01100561,skvr01100560,skvr01100570,skvr01100581,skvr01100582,skvr01100580,skvr01100050,skvr01100600,skvr01100610,skvr01100620,skvr01100631,skvr01100632,skvr01100633,skvr01106470,skvr01106490,skvr01100640,skvr01106580,skvr01100650,skvr01106701,skvr01100670,skvr01100060,skvr01100710,skvr01100720,skvr01100730,skvr01100750,skvr01100771,skvr01100770,skvr01100791,skvr01100790,skvr01100831,skvr01100832,skvr01100833,skvr01100841,skvr01100842,skvr01100840,skvr01100860,skvr01100882,skvr01100880,skvr01100080,skvr01100910,skvr01100930,skvr01100960,skvr01100990,skvr01100091,skvr01100090,skvr01110110,skvr01110130,skvr01110140,skvr01110150,skvr01110170,skvr01107810,skvr01107940,skvr01120750,skvr01120760,skvr01221330,skvr01221340,skvr01222230,skvr02110540,skvr02110550,skvr02110570,skvr02100100,skvr02101120,skvr02101600,skvr02100590,skvr02100060,skvr02100070,skvr02108720,skvr02100080,skvr02100091,skvr02100092,skvr02100090,skvr09405180,skvr06100740,skvr06100900,skvr06100910,skvr06100920,skvr06100930,skvr06100940,skvr06100950,skvr06100960,skvr07101920,skvr07102030,skvr07102380,skvr07103870,skvr07104290,skvr07106050,skvr07106110,skvr07106110,skvr07106300,skvr07106570,skvr07106580,skvr07106590,skvr07106600,skvr07106610,skvr07106620,skvr07106640,skvr07106650,skvr07106660,skvr07106670,skvr07106680,skvr07106690,skvr07106700,skvr07106710,skvr07106720,skvr07106730,skvr07106740,skvr07106750,skvr07106760,skvr07106770,skvr07106780,skvr07106790,skvr07106800,skvr07106810,skvr07106820,skvr07106830,skvr07106840,skvr07106840,skvr07106850,skvr07106861,skvr07106860,skvr07106870,skvr07106880,skvr07106890,skvr07106900,skvr07106910,skvr07108380,skvr07108410,skvr07204601,skvr07204600,skvr07204600,skvr07227540,skvr07248510,skvr07300101,skvr07300100,skvr12100050,skvr12100650,skvr12100710,skvr12100080,skvr12100090,skvr12160500,skvr13011080,skvr13011090,skvr13011100,skvr13011110,skvr13011120,skvr13011130,skvr13017220,skvr13005760,skvr15100600
t010100_3110	Sammon taonta	skvr01101000,skvr01101010,skvr01101020,skvr01101050,skvr01101060,skvr01101080,skvr01101172,skvr01101170,skvr01100110,skvr01101200,skvr01101210,skvr01101220,skvr01101230,skvr01101250,skvr01101270,skvr01101280,skvr01100120,skvr01101311,skvr01101330,skvr01100130,skvr01101450,skvr01101450,skvr01100140,skvr01101561,skvr01101560,skvr01100150,skvr01100170,skvr01100180,skvr01100010,skvr01100200,skvr01102140,skvr01100220,skvr01100240,skvr01100261,skvr01100260,skvr01100270,skvr01102801,skvr01100020,skvr01100301,skvr01100302,skvr01100300,skvr01100310,skvr01103290,skvr01100340,skvr01100360,skvr01100381,skvr01100380,skvr01104331,skvr01104330,skvr01104340,skvr01104350,skvr01104350,skvr01104360,skvr01104410,skvr01104420,skvr01104420,skvr01100440,skvr01104570,skvr01100450,skvr01104650,skvr01104670,skvr01104700,skvr01100041,skvr01100040,skvr01100500,skvr01105180,skvr01100530,skvr01100541,skvr01100540,skvr01100550,skvr01100580,skvr01100600,skvr01100610,skvr01100620,skvr01100631,skvr01100632,skvr01100633,skvr01100640,skvr01100650,skvr01100060,skvr01100700,skvr01100710,skvr01100720,skvr01100730,skvr01100750,skvr01100780,skvr01100791,skvr01100790,skvr01100070,skvr01100800,skvr01100810,skvr01100820,skvr01100831,skvr01100832,skvr01100830,skvr01100842,skvr01100840,skvr01100850,skvr01100860,skvr01100882,skvr01100880,skvr01100900,skvr01100910,skvr01100930,skvr01100950,skvr01100970,skvr01100091,skvr01100090,skvr01110220,skvr01108030,skvr01108080,skvr01108090,skvr01108530,skvr01221330,skvr01221340,skvr02101120,skvr07204601,skvr07204600,skvr12100030
t010100_3120	Sarvesta olutta	skvr03101180,skvr03141930
t010100_3130	Satoi ukko uutta lunta	skvr01105040,skvr03111290,skvr03105070,skvr03116010,skvr03116020,skvr03116030,skvr03120290,skvr03120440,skvr03122150,skvr03122320,skvr03122800,skvr03123350,skvr03123670,skvr03124160,skvr03126540,skvr03128890,skvr03129900,skvr03132550,skvr03133080,skvr03133180,skvr03137390,skvr03142980,skvr04112950,skvr04103750,skvr04104140,skvr04107310,skvr04116020,skvr04116370,skvr04128910,skvr04146320,skvr04146570,skvr04147780,skvr05108380,skvr05223060,skvr05223070,skvr05223080,skvr05223090,skvr05312060,skvr13015320,skvr13009020
t010100_3140	Saunanhakuvirsi	skvr01110960,skvr01110990,skvr01111000,skvr01111010,skvr01111030,skvr01111060,skvr01111080,skvr01111090,skvr01111130,skvr01111160,skvr01111170,skvr01111180,skvr01111190,skvr01111200,skvr01111220,skvr01111260,skvr01111310,skvr01221950,skvr01221970,skvr02103130,skvr02103190,skvr02103200,skvr02103220,skvr02103231,skvr02103230,skvr02103240,skvr02103270,skvr02103281,skvr02103301,skvr02103320,skvr03105510,skvr03117840,skvr03119410,skvr03119830,skvr04113440,skvr04105830,skvr04120500,skvr04120510,skvr04120540,skvr04125150,skvr04140050,skvr04140220,skvr04140560,skvr04140670,skvr04140720,skvr04141490,skvr09102780,skvr09102800,skvr09102820,skvr09102830,skvr05105160,skvr06102390,skvr06102400,skvr06102420,skvr06164500,skvr06164510,skvr07107400,skvr07107440,skvr07110830,skvr07110940,skvr12101300,skvr12180980
