t010100_3700	Ukko teki suuren tuulen	skvr05113100,skvr06101050,skvr06101060
t010100_3705	Utkanen uipi, sotkanen soutaa	skvr07129530,skvr07129540,skvr07129550,skvr07129560,skvr07129570,skvr07129580,skvr07138280,skvr07138290
t020100_1960	Ulkoa runoja kuulin	skvr01102730,skvr01112740,skvr01112750,skvr01112791,skvr01112790,skvr01112850,skvr01113200,skvr01113290,skvr01214770,skvr01222160,skvr02104140,skvr02104150,skvr02104880,skvr02104900,skvr04108250,skvr04108720,skvr06105080,skvr06105180,skvr06105320,skvr06105420,skvr06105430,skvr06107590,skvr07115100,skvr07115330,skvr07115340,skvr07116140,skvr07116870,skvr07117050,skvr07117080,skvr07117091,skvr07117090,skvr07117100,skvr07117110,skvr07117120,skvr07215710,skvr12103200,skvr12103371,skvr12103370,skvr13018800,skvr13078620,skvr15104140
t020201_0960	Ukko ruski, taivas paukku minun hoikan huoliani	skvr07115090,skvr07117410,skvr07117450,skvr07122460
t020202_0520	Ulos turvaton tuvasta	skvr04103850,skvr04108180,skvr04123360,skvr04133690,skvr04139090,skvr07121090,skvr07121330,skvr07121580
t020600_0640	Uni petti, vuode voitti	skvr01114860,skvr01114870,skvr04101040,skvr04110950,skvr04111560,skvr04101590,skvr04104580,skvr04115940,skvr04127330,skvr04129070,skvr04130940,skvr04133350,skvr04134820,skvr05113260,skvr05210770,skvr05211930,skvr05211940,skvr05215290,skvr05215311,skvr05202810,skvr05207490,skvr05208940,skvr05209470,skvr05209670,skvr05209710,skvr05310540,skvr07115150,skvr07118280,skvr07126481,skvr07126480,skvr07126490,skvr07126500,skvr07126510,skvr07126520,skvr07126530,skvr07127760,skvr07127760,skvr07145310,skvr13012180,skvr13023230,skvr13030510,skvr13031680,skvr13031690,skvr13031700,skvr13031710,skvr13031720,skvr13031730,skvr13031740,skvr13031750
t020700_1640	Ukko, akka / tyttö, poika antoi suuta	skvr06107130,skvr13066610
t020803_0630	Ukkoa syötin, juotin - ruoskaa palkakseni	skvr04133760,skvr04134720,skvr04141730,skvr05209680
t030300_2630	Uinahtele ulppuseni	skvr13058490
t030300_2640	Ukko uunia tekee	skvr13116080
t030300_2650	Uni näkyy tulevan	skvr14109600
